"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
269.5652174,2.73,269.5652174,1.33,620008.5114207208,No reference information available.,Thermal evaporation.
275.5555556,2.72,275.5555556,1.24,565486.6775549552,,
281.8181818,2.7,281.8181818,1.17,521707.06392656994,,
288.372093,2.67,288.372093,1.12,488061.6200293097,,
295.2380952,2.63,295.2380952,1.09,463942.29580612405,,
302.4390244,2.61,302.4390244,1.08,448741.0409563505,,
310,2.59,310,1.08,437796.1375325131,,
317.9487179,2.59,317.9487179,1.09,430803.5604018235,,
326.3157895,2.61,326.3157895,1.1,423608.29970794567,,
335.1351351,2.64,335.1351351,1.08,404961.4272600303,,
344.4444444,2.65,344.4444444,1.05,383071.6203903776,,
354.2857143,2.64,354.2857143,1.04,368883.78253566916,,
364.7058824,2.63,364.7058824,1.05,361789.86360865814,,
375.7575758,2.65,375.7575758,1.1,367870.3655239808,,
387.5,2.7,387.5,1.13,366451.58178647386,,
400,2.79,400,1.16,364424.747816416,,
413.3333333,2.92,413.3333333,1.14,346588.60890785686,,
427.5862069,3.05,427.5862069,1.04,305646.5626822712,,
442.8571429,3.1,442.8571429,0.91,258218.64776039156,,
459.2592593,3.1,459.2592593,0.79,216161.84288750275,,
476.9230769,3.07,476.9230769,0.71,187076.7754453991,,
496,3.05,496,0.64,162146.7176046345,,
516.6666667,3.03,516.6666667,0.59,143499.8450708435,,
539.1304348,3.01,539.1304348,0.55,128197.24860202876,,
563.6363636,2.99,563.6363636,0.52,115934.90309479334,,
590.4761905,2.98,590.4761905,0.49,104280.60775527569,,
620,2.97,620,0.47,95261.19659272274,,
635.8974359,2.97,635.8974359,0.45,88927.34043593315,,
652.6315789,2.97,652.6315789,0.44,84721.65995457067,,
670.2702703,2.96,670.2702703,0.43,80617.32115547845,,
688.8888889,2.97,688.8888889,0.42,76614.32406695407,,
708.5714286,2.97,708.5714286,0.4,70939.18894916713,,
729.4117647,2.97,729.4117647,0.39,67189.54610796226,,
751.5151515,2.97,751.5151515,0.38,63541.24496259721,,
775,2.98,775,0.37,59994.28551371476,,
800,2.98,800,0.36,56548.667764616286,,
826.6666667,3,826.6666667,0.34,51684.26623439321,,
855.1724138,3.01,855.1724138,0.32,47022.5481049648,,
885.7142857,3.02,885.7142857,0.28,39725.9458137762,,
918.5185185,3.01,918.5185185,0.26,35570.936175233845,,
953.8461538,3.02,953.8461538,0.24,31618.609934433654,,
992,3.03,992,0.21,26602.19585701034,,
1033.333333,3.05,1033.333333,0.15,18241.505736405736,,
1078.26087,3.01,1078.26087,0.08,9323.436258507034,,
1127.272727,2.96,1127.272727,0.06,6688.55210280937,,
1180.952381,2.92,1180.952381,0.05,5320.439171187535,,
1240,2.9,1240,0.05,5067.084925144827,,
1305.263158,2.88,1305.263158,0.05,4813.730678499382,,
1377.777778,2.86,1377.777778,0.04,3648.301145515841,,
1458.823529,2.85,1458.823529,0.04,3445.6177500710364,,
1550,2.84,1550,0.04,3242.93435209269,,
1653.333333,2.83,1653.333333,0.03,2280.1882167748877,,
