"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
300,1.559312,300,0.762964,319589.6129804644," Salman Manzoor,  Jakob Häusele,  Kevin A. Bush,  Axel F. Palmstrom,  Joe Carpenter,  Zhengshan J. Yu,  Stacey F. Bent,  Michael D. Mcgehee and  Zachary C. Holman, 'Optical modeling of wide-bandgap perovskite and perovskite/silicon tandem solar cells using complex refractive indices for arbitrary-bandgap perovskite absorbers', <i>Optics Express</i> <b>26</b>(21), pp.27441, (2018)",Film deposited on quartz
305,1.570079,305,0.83661,344693.4858911156,,
310,1.592749,310,0.909067,368505.57533173065,,
315,1.62752,315,0.978738,390450.29975735454,,
320,1.675413,320,1.042544,409406.0714305146,,
325,1.733809,325,1.099443,425107.9448419352,,
330,1.802282,330,1.145183,436084.666644354,,
335,1.878354,335,1.181485,443193.38463600434,,
340,1.959479,340,1.199935,443494.9389159139,,
345,2.042486,345,1.199138,436777.17465975165,,
350,2.123684,350,1.196902,429734.6891733635,,
355,2.199737,355,1.176679,416523.5044544659,,
360,2.267598,360,1.140543,398124.61221147375,,
365,2.323715,365,1.098686,378260.1497207623,,
370,2.371421,370,1.050225,356689.63725582056,,
375,2.406329,375,1.000209,335173.2529551353,,
380,2.430745,380,0.950753,314408.27791352174,,
385,2.44608,385,0.903999,295064.5836106514,,
390,2.454051,390,0.861448,277571.14956406364,,
395,2.456404,395,0.824022,262151.0340857082,,
400,2.45495,400,0.792154,248862.51869117693,,
405,2.45118,405,0.765896,237642.78982852428,,
410,2.446531,410,0.745018,228345.6659114303,,
415,2.442232,415,0.72906,220762.3653037277,,
420,2.439332,420,0.71738,214639.5940792615,,
425,2.4387,425,0.709183,209690.73909183723,,
430,2.441008,430,0.703529,205600.1430685929,,
435,2.446693,435,0.699361,202032.86251100793,,
440,2.455921,440,0.695545,198647.18747646478,,
445,2.468564,445,0.690933,195112.81230766352,,
450,2.484169,450,0.68445,191134.49704440305,,
455,2.501983,455,0.675198,186478.8638697601,,
460,2.521012,460,0.662556,180998.35323407294,,
465,2.540134,465,0.646254,174646.60806477573,,
470,2.558226,470,0.626399,167480.0422651909,,
475,2.574302,475,0.603436,159642.11406413562,,
