"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Reference text,Details
403.85733,3.642928,403.85733,0.820041,255162.85973984204,,,
405.17712,3.631034,405.17712,0.799683,248017.7792863177,,,
406.50555,3.61893,406.50555,0.780404,241247.5276888189,,,
407.84274,3.606683,407.84274,0.76215,234832.165057881,,,
409.18878,3.594355,409.18878,0.744868,228752.29733270028,,,
410.5437,3.581997,410.5437,0.728505,222988.7786467976,,,
411.90762,3.569652,411.90762,0.713011,217523.5427330732,,,
413.28067,3.557358,413.28067,0.698334,212338.11532022292,,,
414.66287,3.545149,414.66287,0.684429,207416.41211365836,,,
416.05435,3.53305,416.05435,0.671248,202741.5683106634,,,
417.4552,3.521084,417.4552,0.658748,198298.4403947508,,,
418.86554,3.50927,418.86554,0.646887,194072.34568904762,,,
420.2854,3.497624,420.2854,0.635627,190050.01017149963,,,
421.71497,3.486159,421.71497,0.624929,186217.94293100058,,,
423.15427,3.474884,423.15427,0.614759,182564.37380421167,,,
424.60342,3.463808,424.60342,0.605083,179077.6256688722,,,
426.06253,3.452936,426.06253,0.595872,175747.6394537541,,,
427.5317,3.442274,427.5317,0.587094,172563.59679215797,,,
429.01108,3.431825,429.01108,0.578723,169516.54724287736,,,
430.50067,3.42159,430.50067,0.570733,166597.7058722128,,,
432.0007,3.411572,432.0007,0.563099,163798.59399707074,,,
433.51117,3.401769,433.51117,0.555799,161111.79375355458,,,
435.03226,3.392181,435.03226,0.54881,158529.61931757562,,,
436.5641,3.382808,436.5641,0.542113,156045.64994836025,,,
438.10672,3.373648,438.10672,0.535689,153653.5780148602,,,
439.66028,3.364698,439.66028,0.529518,151346.84067831284,,,
441.2249,3.355956,441.2249,0.523584,149120.11066802064,,,
442.80072,3.34742,442.80072,0.517871,146968.119573717,,,
444.38782,3.339085,444.38782,0.512364,144885.9672494067,,,
445.98633,3.330948,445.98633,0.507046,142868.23442611707,,,
447.59637,3.323007,447.59637,0.501905,140910.97841566367,,,
449.2181,3.315256,449.2181,0.496927,139009.7338081805,,,
450.85162,3.307692,450.85162,0.492098,137160.11149266624,,,
452.49707,3.30031,452.49707,0.487406,135358.32255582002,,,
454.15457,3.293106,454.15457,0.482839,133600.63339374895,,,
455.82425,3.286075,455.82425,0.478384,131883.08081414268,,,
457.50626,3.27921,457.50626,0.47403,130202.29848493611,,,
459.20074,3.272507,459.20074,0.469764,128554.42099862083,,,
460.9078,3.265958,460.9078,0.465575,126936.18981454147,,,
462.6276,3.259557,462.6276,0.461451,125344.10585029199,,,
464.3603,3.253293,464.3603,0.457378,123774.17834501292,,,
466.10602,3.247158,466.10602,0.453345,122223.2934508475,,,
467.8649,3.241138,467.8649,0.449338,120687.5711153994,,,
469.63712,3.235216,469.63712,0.445343,119163.17833885356,,,
471.4228,3.229371,471.4228,0.441346,117646.35493160204,,,
473.22214,3.223571,473.22214,0.437333,116133.37786540462,,,
475.03525,3.21727,475.03525,0.433444,114661.3423860713,,,
476.8623,3.211133,476.8623,0.429478,113176.90072613728,,,
478.70346,3.204913,478.70346,0.425493,111695.51044848365,,,
480.5589,3.198223,480.5589,0.421681,110267.43500190279,,,
482.42877,3.190644,482.42877,0.418545,109023.17431829285,,,
484.31326,3.181811,484.31326,0.418034,108466.37098895502,,,
486.21252,3.177135,486.21252,0.425612,110001.24245913365,,,
488.12677,3.191426,488.12677,0.421706,108564.29542471006,,,
490.05612,3.185206,490.05612,0.403168,103383.23104402736,,,
492.0008,3.173506,492.0008,0.395942,101128.98015187372,,,
493.96094,3.163843,493.96094,0.392528,99859.15737615159,,,
495.9368,3.155662,495.9368,0.390293,98894.98997029632,,,
497.9285,3.148419,497.9285,0.38853,98054.47920327856,,,
499.93628,3.141815,499.93628,0.387001,97276.3567814605,,,
501.96033,3.13556,501.96033,0.38561,96535.87909233866,,,
504.0008,3.129435,504.0008,0.384319,95823.1611564883,,,
506.05795,3.12403,506.05795,0.383095,95129.69316079172,,,
508.13196,3.118879,508.13196,0.381925,94452.0611710613,,,
510.22302,3.113954,510.22302,0.380799,93787.64140389743,,,
512.3314,3.109232,512.3314,0.379713,93135.30822218128,,,
514.4573,3.104697,514.4573,0.378661,92493.47736350245,,,
516.6008,3.100337,516.6008,0.37764,91861.34049359965,,,
518.7623,3.09614,518.7623,0.376646,91237.802485183,,,
520.942,3.092098,520.942,0.375678,90622.54492172306,,,
523.1401,3.088204,523.1401,0.374733,90014.77346949042,,,
525.35675,3.084452,525.35675,0.373808,89413.71490158589,,,
527.59235,3.080837,527.59235,0.372902,88819.04248300349,,,
529.847,3.077355,529.847,0.372012,88230.01102184187,,,
532.12103,3.074001,532.12103,0.371137,87646.32156525405,,,
534.4147,3.070771,534.4147,0.370275,87067.45677526915,,,
536.72815,3.067664,536.72815,0.369423,86492.69339550029,,,
539.0617,3.064676,539.0617,0.368581,85921.9908854797,,,
541.4157,3.061805,541.4157,0.367747,85354.8409164851,,,
543.79034,3.059048,543.79034,0.366918,84790.53844684771,,,
546.1859,3.056404,546.1859,0.366093,84228.83705570929,,,
548.60266,3.05387,548.60266,0.365271,83669.49516208305,,,
551.0409,3.051445,551.0409,0.364449,83111.8199036149,,,
553.50085,3.049128,553.50085,0.363626,82555.59284176292,,,
555.983,3.046917,555.983,0.362801,82000.5616225698,,,
558.48737,3.04481,558.48737,0.361971,81446.0985509879,,,
