"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
335.14,3.04,335.14,3.27,1226115.4117370204,,
337.41,3.042,337.41,3.262,1214886.9607907182,,
339.73,3.0444,339.73,3.2544,1203779.3697162597,,
342.07,3.0471,342.07,3.2471,1192862.9234333811,,
344.44,3.05,344.44,3.24,1182064.8237871248,,
346.85,3.0529,346.85,3.2321,1170989.3747346196,,
349.3,3.0556,349.3,3.2244,1160005.880588025,,
351.77,3.058,351.77,3.217,1149217.2233673553,,
354.29,3.06,354.29,3.21,1138560.2097742793,,
356.83,3.0605,356.83,3.2041,1128377.885420739,,
359.42,3.0606,359.42,3.1988,1118393.698770578,,
362.04,3.0604,362.04,3.1941,1108668.776359646,,
364.71,3.06,364.71,3.19,1099139.6523211803,,
367.41,3.0604,367.41,3.1866,1089899.4746935833,,
370.15,3.0606,370.15,3.1838,1080881.0147777046,,
372.93,3.0605,372.93,3.1816,1072082.2874707088,,
375.76,3.06,375.76,3.18,1063472.9229737644,,
378.63,3.0584,378.63,3.1779,1054714.8713882158,,
381.54,3.0563,381.54,3.1769,1046341.2172972073,,
384.5,3.0534,384.5,3.1774,1038449.5706128695,,
387.5,3.05,387.5,3.18,1031253.1239654754,,
390.55,3.0444,390.55,3.1874,1025580.5836950052,,
393.65,3.0388,393.65,3.1969,1020536.7767571408,,
396.8,3.0338,396.8,3.2079,1015918.8582107557,,
400,3.03,400,3.22,1011592.8344559136,,
403.25,3.0309,403.25,3.2316,1007054.7619928853,,
406.56,3.0331,406.56,3.2438,1002626.7463316185,,
409.92,3.0363,409.92,3.2566,998332.4195628925,,
413.33,3.04,413.33,3.27,994170.079814059,,
416.81,3.0417,416.81,3.2833,989879.4327901315,,
420.34,3.0438,420.34,3.2975,985811.6548710418,,
423.93,3.0464,423.93,3.313,982058.0248006026,,
427.59,3.05,427.59,3.33,978648.1008867384,,
431.3,3.0556,431.3,3.3509,976319.2972792987,,
435.09,3.0625,435.09,3.3731,974226.5903444099,,
438.94,3.0706,438.94,3.3963,972323.4272918409,,
442.86,3.08,442.86,3.42,970441.843948615,,
446.85,3.0898,446.85,3.4421,967991.5920708448,,
450.91,3.1013,450.91,3.4644,965490.549253419,,
455.05,3.1145,455.05,3.487,962947.6833813963,,
459.26,3.13,459.26,3.51,960413.7276575513,,
463.55,3.1484,463.55,3.5337,957950.2500261248,,
467.92,3.1694,467.92,3.5581,955556.5755460628,,
472.38,3.1932,472.38,3.5835,953291.6104948579,,
476.92,3.22,476.92,3.61,951199.3189179866,,
481.55,3.2488,481.55,3.6416,950299.9736112629,,
486.27,3.2813,486.27,3.6731,949216.1947807325,,
491.09,3.3181,491.09,3.703,947550.7622833293,,
496,3.36,496,3.73,945011.3385395103,,
501.01,3.4138,501.01,3.7549,941806.8505590161,,
506.12,3.4713,506.12,3.7731,936816.8214067533,,
511.34,3.5306,511.34,3.7823,929514.2874543496,,
516.67,3.59,516.67,3.78,919365.9574250039,,
522.11,3.6506,522.11,3.7507,902734.7927309753,,
527.66,3.7063,527.66,3.7106,883689.7775393463,,
533.33,3.7538,533.33,3.6627,863008.749727436,,
539.13,3.79,539.13,3.61,841440.8012508415,,
545.05,3.797,545.05,3.5523,818998.5934022216,,
551.11,3.7925,551.11,3.4969,797360.6249451578,,
557.3,3.7792,557.3,3.448,777477.9450620929,,
563.64,3.76,563.64,3.41,760260.517262167,,
570.11,3.7396,570.11,3.4057,750684.7520885975,,
576.74,3.7181,576.74,3.4131,743667.5025812202,,
583.53,3.6976,583.53,3.429,738438.2094603123,,
590.48,3.68,590.48,3.45,734215.8687769128,,
597.59,3.6733,597.59,3.4663,728907.9546269716,,
604.88,3.6713,604.88,3.4838,723758.7942452137,,
612.35,3.6736,612.35,3.5019,718644.1292467443,,
620,3.68,620,3.52,713445.5574603917,,
627.85,3.6913,627.85,3.5379,708108.0289327279,,
635.9,3.7056,635.9,3.5544,702404.5873828942,,
644.16,3.7221,644.16,3.5687,696187.3884044894,,
652.63,3.74,652.63,3.58,689327.900945495,,
661.33,3.7585,661.33,3.586,681399.6797830431,,
670.27,3.7769,670.27,3.5881,672704.945788744,,
679.45,3.7943,679.45,3.5862,663264.6743279839,,
688.89,3.81,688.89,3.58,653044.8518545172,,
698.59,3.8236,698.59,3.5675,641728.7273898331,,
708.57,3.8338,708.57,3.5513,629817.1241059279,,
718.84,3.8395,718.84,3.5319,617427.5829510761,,
729.41,3.84,729.41,3.51,604707.3779685047,,
740.3,3.8346,740.3,3.487,591907.7986258334,,
751.52,3.8219,751.52,3.4625,578974.0559428709,,
763.08,3.8007,763.08,3.4367,565954.3676989067,,
775,3.77,775,3.41,552920.3070318035,,
787.3,3.7248,787.3,3.3748,538663.6294848132,,
800,3.6694,800,3.3425,525038.6722311942,,
813.11,3.6043,813.11,3.3164,512539.65029898484,,
826.67,3.53,826.67,3.3,501639.384849883,,
840.68,3.4427,840.68,3.3041,493892.3864836102,,
855.17,3.3488,855.17,3.3219,488139.51078545477,,
870.18,3.2505,870.18,3.3537,484311.71860277606,,
