l,a
722.39,0.17395549
723.97,0.173575847
725.55,0.173197858
727.14,0.172819135
728.72,0.172444432
730.3,0
731.88,0
733.46,0
735.04,0
736.63,0
738.21,0
739.79,0
741.37,0
742.95,0
744.53,0
746.11,0
747.69,0
749.27,0
750.85,0
752.43,0
754.02,0
755.6,0
757.18,0
758.76,0
760.34,0
761.92,0
763.5,0
765.08,0
766.66,0
768.24,0
769.82,0
771.4,0
772.98,0
774.56,0
776.13,0
777.71,0
779.29,0
780.87,0
782.45,0
784.03,0
785.61,0
787.19,0
788.77,0
790.35,0
791.92,0
793.5,0
795.08,0
796.66,0
798.24,0
799.81,0
801.39,0
802.97,0
804.55,0
806.13,0
807.7,0
809.28,0
810.86,0
812.44,0
814.01,0
815.59,0
817.17,0
818.74,0
820.32,0
821.9,0
823.47,0
825.05,0
826.63,0
828.2,0
829.78,0
831.36,0
832.93,0
834.51,0
836.08,0
837.66,0
839.24,0
840.81,0
842.39,0
843.96,0
845.54,0
847.11,0
848.69,0
850.26,0
851.84,0
853.41,0
854.99,0
856.56,0
858.13,0
859.71,0
861.28,0
862.86,0
864.43,0
866.01,0
867.58,0
869.15,0
870.73,0
872.3,0
873.87,0
875.45,0
877.02,0
878.59,0
880.17,0
881.74,0
883.31,0
884.88,0
886.46,0
888.03,0
889.6,0
891.17,0
892.74,0
894.32,0
895.89,0
897.46,0
899.03,0
900.6,0
902.17,0
903.74,0
905.32,0
906.89,0
908.46,0
910.03,0
911.6,0
913.17,0
914.74,0
916.31,0
917.88,0
919.45,0
921.02,0
922.59,0
924.16,0
925.73,0
927.3,0
928.87,0
930.44,0
932.01,0
933.57,0
935.14,0
936.71,0
938.28,0
939.85,0
941.42,0
942.98,0
944.55,0
946.12,0
947.69,0
949.26,0
950.82,0
952.39,0
953.96,0
955.52,0
957.09,0
958.66,0
960.23,0
961.79,0
963.36,0
964.92,0
966.49,0
968.06,0
969.62,0
971.19,0
972.75,0
974.32,0
975.88,0
977.45,0
979.02,0
980.58,0
982.14,0
983.71,0
985.27,0
986.84,0
988.4,0
989.97,0
991.53,0
993.09,0
994.66,0
996.22,0
997.79,0
999.35,0
1010.08,0
1013.43,0
1016.79,0
1020.14,0
1023.5,0
1026.85,0
1030.21,0
1033.57,0
1036.92,0
1040.28,0
1043.64,0
