"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
310,1.779027,310,1.01457,411272.9882," Jérémie Werner,  Gizem Nogay,  Florent Sahli,  Terry Chien-Jen Yang,  Matthias Bräuninger,  Gabriel Christmann,  Arnaud Walter,  Brett A. Kamino,  Peter Fiala,  Philipp Löper,  Sylvain Nicolay,  Quentin Jeangros,  Bjoern Niesen and  Christophe Ballif, 'Complex Refractive Indices of Cesium–Formamidinium-Based Mixed-Halide Perovskites with Optical Band Gaps from 1.5 to 1.8 eV', <i>ACS Energy Letters</i> <b>3</b>(3), pp.742-747, (2018)",Cesium-formamidinium mixed-halide perovskite with optical bandwidth of 1.80 eV.
313.9240506,1.818208,313.9240506,1.037776,415421.4309,,
317.9487179,1.862371,317.9487179,1.057607,418000.79,,
322.0779221,1.911228,322.0779221,1.072799,418569.2003,,
326.3157895,1.9641,326.3157895,1.08205,416695.7825,,
330.6666667,2.019866,330.6666667,1.084158,412014.0493,,
335.1351351,2.076969,335.1351351,1.078206,404288.7413,,
339.7260274,2.133504,339.7260274,1.063744,393475.9266,,
344.4444444,2.187402,344.4444444,1.040936,379764.8002,,
349.2957746,2.236675,349.2957746,1.01062,363583.7131,,
354.2857143,2.279681,354.2857143,0.974244,345560.396,,
359.4202899,2.315333,359.4202899,0.933696,326447.0679,,
364.7058824,2.343209,364.7058824,0.891058,307024.526,,
370.1492537,2.363545,370.1492537,0.848348,288009.6413,,
375.7575758,2.377134,375.7575758,0.807315,269988.4219,,
381.5384615,2.385162,381.5384615,0.769306,253379.0243,,
387.5,2.389045,387.5,0.735216,238425.7223,,
393.6507937,2.390283,393.6507937,0.705494,225212.2747,,
400,2.390358,400,0.680179,213684.535,,
406.557377,2.390658,406.557377,0.658949,203675.9832,,
413.3333333,2.392427,413.3333333,0.641149,194925.386,,
420.3389831,2.396715,420.3389831,0.625814,187092.1084,,
427.5862069,2.404306,427.5862069,0.611673,179765.1442,,
435.0877193,2.415612,435.0877193,0.597173,172477.7994,,
442.8571429,2.430524,442.8571429,0.580553,164735.8358,,
450.9090909,2.448254,450.9090909,0.560007,156068.1665,,
459.2592593,2.46724,459.2592593,0.533987,146110.9038,,
467.9245283,2.485206,467.9245283,0.501596,134706.3651,,
476.9230769,2.499489,476.9230769,0.462979,121989.6034,,
486.2745098,2.507596,486.2745098,0.419491,108405.4226,,
496,2.507828,496,0.3735,94627.81098,,
506.122449,2.499681,506.122449,0.327852,81401.44241,,
516.6666667,2.483857,516.6666667,0.285216,69370.25731,,
527.6595745,2.461921,527.6595745,0.247597,58965.96623,,
539.1304348,2.435827,539.1304348,0.216165,50385.01499,,
551.1111111,2.407514,551.1111111,0.191363,43634.36576,,
563.6363636,2.378699,563.6363636,0.173168,38608.10634,,
576.744186,2.350869,576.744186,0.161395,35165.49338,,
590.4761905,2.325514,590.4761905,0.155977,33194.64562,,
604.8780488,2.304729,604.8780488,0.157194,32657.12926,,
620,2.292818,620,0.165521,33548.35856,,
635.8974359,2.300443,635.8974359,0.17844,35262.65473,,
652.6315789,2.345131,652.6315789,0.169476,32632.47282,,
670.2702703,2.371452,670.2702703,0.077661,14560.05065,,
688.8888889,2.298324,688.8888889,0.00671,1224.005034,,
708.5714286,2.230112,708.5714286,0,0,,
729.4117647,2.187501,729.4117647,0,0,,
751.5151515,2.158486,751.5151515,0,0,,
775,2.136407,775,0,0,,
800,2.118294,800,0,0,,
826.6666667,2.10273,826.6666667,0,0,,
855.1724138,2.088967,855.1724138,0,0,,
885.7142857,2.076571,885.7142857,0,0,,
918.5185185,2.065265,918.5185185,0,0,,
953.8461538,2.054862,953.8461538,0,0,,
992,2.045228,992,0,0,,
1033.333333,2.036261,1033.333333,0,0,,
1078.26087,2.02788,1078.26087,0,0,,
1127.272727,2.02002,1127.272727,0,0,,
1180.952381,2.012628,1180.952381,0,0,,
1240,2.005658,1240,0,0,,
1305.263158,1.999073,1305.263158,0,0,,
1377.777778,1.992839,1377.777778,0,0,,
1458.823529,1.986925,1458.823529,0,0,,
1550,1.981308,1550,0,0,,
1653.333333,1.975964,1653.333333,0,0,,
1771.428571,1.970872,1771.428571,0,0,,
1907.692308,1.966014,1907.692308,0,0,,
2066.666667,1.961375,2066.666667,0,0,,
