"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
310,1.891281,310,0.948184,384362.30821308185," Jérémie Werner,  Gizem Nogay,  Florent Sahli,  Terry Chien-Jen Yang,  Matthias Bräuninger,  Gabriel Christmann,  Arnaud Walter,  Brett A. Kamino,  Peter Fiala,  Philipp Löper,  Sylvain Nicolay,  Quentin Jeangros,  Bjoern Niesen and  Christophe Ballif, 'Complex Refractive Indices of Cesium–Formamidinium-Based Mixed-Halide Perovskites with Optical Band Gaps from 1.5 to 1.8 eV', <i>ACS Energy Letters</i> <b>3</b>(3), pp.742-747, (2018)",Cesium-formamidinium mixed-halide perovskite with optical bandwidth of 1.73 eV.
313.9240506,1.931035,313.9240506,0.977749,391392.64030059206,,
317.9487179,1.977427,317.9487179,1.003898,396773.2409910732,,
322.0779221,2.03027,322.0779221,1.02481,399845.54623719194,,
326.3157895,2.088766,326.3157895,1.038538,399939.3785109913,,
330.6666667,2.151388,330.6666667,1.043259,396471.14635415823,,
335.1351351,2.215887,335.1351351,1.0376,389062.9415972291,,
339.7260274,2.279477,339.7260274,1.020976,377656.163189985,,
344.4444444,2.339199,344.4444444,0.993822,362576.1942091484,,
349.2957746,2.39238,349.2957746,0.957617,344515.19324536336,,
354.2857143,2.437062,354.2857143,0.914665,324427.9663009498,,
359.4202899,2.472254,359.4202899,0.867698,303372.2623831823,,
364.7058824,2.497957,364.7058824,0.81944,282347.7007956941,,
370.1492537,2.514988,370.1492537,0.772241,262171.7189106774,,
375.7575758,2.524707,375.7575758,0.727875,243421.4930052432,,
381.5384615,2.528726,381.5384615,0.687486,226430.74656795332,,
387.5,2.528683,387.5,0.651647,211324.8441738145,,
393.6507937,2.526094,393.6507937,0.620469,198070.0543096815,,
400,2.522275,400,0.593727,186524.83814379072,,
406.557377,2.518317,406.557377,0.57096,176479.2713618505,,
413.3333333,2.515091,413.3333333,0.551553,167685.95351662737,,
420.3389831,2.513262,420.3389831,0.534786,159878.55862923613,,
427.5862069,2.513303,427.5862069,0.519865,152783.606066172,,
435.0877193,2.515497,435.0877193,0.505943,146128.4004515161,,
442.8571429,2.519932,442.8571429,0.492134,139646.34724935444,,
450.9090909,2.526477,450.9090909,0.477541,133085.74412580542,,
459.2592593,2.534756,459.2592593,0.461294,126220.45715562996,,
467.9245283,2.544131,467.9245283,0.442626,118869.6472005685,,
476.9230769,2.553704,476.9230769,0.420956,110917.02969632878,,
486.2745098,2.562361,486.2745098,0.396004,102335.88083437497,,
496,2.56888,496,0.367888,93205.986947084,,
506.122449,2.572086,506.122449,0.337169,83714.73389580606,,
516.6666667,2.57103,516.6666667,0.304833,74141.50554657701,,
527.6595745,2.565147,527.6595745,0.272177,64819.76675862321,,
539.1304348,2.554343,539.1304348,0.240636,56088.86020835961,,
551.1111111,2.538988,551.1111111,0.211608,48250.60680877489,,
563.6363636,2.519829,563.6363636,0.186324,41541.25939275821,,
576.744186,2.497884,576.744186,0.165823,36130.28661523224,,
590.4761905,2.474383,590.4761905,0.151038,32143.539661512918,,
604.8780488,2.450909,604.8780488,0.143012,29710.811920948883,,
620,2.430025,620,0.143161,29016.35779874635,,
635.8974359,2.417268,635.8974359,0.153003,30235.888597153506,,
652.6315789,2.425534,652.6315789,0.169305,32599.546905928608,,
670.2702703,2.467884,670.2702703,0.162527,30470.91012892197,,
688.8888889,2.49322,688.8888889,0.094651,17265.76758871731,,
708.5714286,2.455806,708.5714286,0.031629,5609.339018183018,,
729.4117647,2.406049,729.4117647,0.006796,1170.8209111531066,,
751.5151515,2.36583,751.5151515,0.000401,67.05273481579337,,
775,2.334501,775,0,0,,
800,2.309201,800,0,0,,
826.6666667,2.287985,826.6666667,0,0,,
855.1724138,2.269676,855.1724138,0,0,,
885.7142857,2.253548,885.7142857,0,0,,
918.5185185,2.239129,918.5185185,0,0,,
953.8461538,2.226097,953.8461538,0,0,,
992,2.214222,992,0,0,,
1033.333333,2.20333,1033.333333,0,0,,
1078.26087,2.193288,1078.26087,0,0,,
1127.272727,2.183989,1127.272727,0,0,,
1180.952381,2.175347,1180.952381,0,0,,
1240,2.167289,1240,0,0,,
1305.263158,2.159753,1305.263158,0,0,,
1377.777778,2.152689,1377.777778,0,0,,
1458.823529,2.146051,1458.823529,0,0,,
1550,2.139801,1550,0,0,,
1653.333333,2.133904,1653.333333,0,0,,
1771.428571,2.12833,1771.428571,0,0,,
1907.692308,2.123052,1907.692308,0,0,,
2066.666667,2.118048,2066.666667,0,0,,
