"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
269.5652174,2.78,269.5652174,1.32,615346.793289738,No reference information available.,Thermal evaporation.
275.5555556,2.75,275.5555556,1.26,574607.4304187448,,
281.8181818,2.71,281.8181818,1.2,535084.1681298154,,
288.372093,2.68,288.372093,1.18,514207.7782451655,,
295.2380952,2.66,295.2380952,1.18,502249.4578451617,,
302.4390244,2.66,302.4390244,1.18,490291.1373411977,,
310,2.68,310,1.18,478332.8169336717,,
317.9487179,2.72,317.9487179,1.17,462422.17033957195,,
326.3157895,2.74,326.3157895,1.12,431310.2687935447,,
335.1351351,2.72,335.1351351,1.09,408711.07010503055,,
344.4444444,2.7,344.4444444,1.09,397664.8249766777,,
354.2857143,2.69,354.2857143,1.13,400806.4175627943,,
364.7058824,2.73,364.7058824,1.18,406582.8943411587,,
375.7575758,2.81,375.7575758,1.22,408001.67812659685,,
387.5,2.94,387.5,1.23,398880.9253074008,,
400,3.1,400,1.17,367566.3404700058,,
413.3333333,3.21,413.3333333,1.01,307065.3464885399,,
427.5862069,3.22,427.5862069,0.85,249807.28680762547,,
442.8571429,3.19,442.8571429,0.73,207142.4317198745,,
459.2592593,3.15,459.2592593,0.64,175118.45499747057,,
476.9230769,3.11,476.9230769,0.58,152823.28134976266,,
496,3.07,496,0.53,134277.75051633795,,
516.6666667,3.04,516.6666667,0.5,121610.03819563008,,
539.1304348,3.02,539.1304348,0.47,109550.37607809728,,
563.6363636,3.01,563.6363636,0.44,98098.76415713281,,
590.4761905,2.99,590.4761905,0.42,89383.37807595058,,
620,2.98,620,0.39,79046.52483225931,,
635.8974359,2.98,635.8974359,0.38,75094.19859034354,,
652.6315789,2.98,652.6315789,0.37,71243.21405270716,,
670.2702703,2.99,670.2702703,0.36,67493.57119993545,,
688.8888889,2.99,688.8888889,0.35,63845.27005579507,,
708.5714286,3,708.5714286,0.33,58524.830883062896,,
729.4117647,3.01,729.4117647,0.31,53407.07511145719,,
751.5151515,3.01,751.5151515,0.28,46819.86470928216,,
775,3,775,0.26,42158.14657720497,,
800,3,800,0.24,37699.11184307752,,
826.6666667,3.02,826.6666667,0.22,33442.760504607366,,
855.1724138,3.04,855.1724138,0.16,23511.2740524824,,
885.7142857,2.99,885.7142857,0.11,15606.621569697789,,
918.5185185,2.99,918.5185185,0.09,12313.016368350178,,
953.8461538,2.94,953.8461538,0.04,5269.76832240561,,
992,2.9,992,0.04,5067.084925144828,,
1033.333333,2.87,1033.333333,0.04,4864.401529708197,,
1078.26087,2.85,1078.26087,0.04,4661.718129253517,,
1127.272727,2.83,1127.272727,0.03,3344.276051404685,,
1180.952381,2.82,1180.952381,0.03,3192.2635027125207,,
1240,2.81,1240,0.03,3040.2509550868963,,
1305.263158,2.79,1305.263158,0.03,2888.238407099629,,
1377.777778,2.78,1377.777778,0.03,2736.2258591368804,,
1458.823529,2.77,1458.823529,0.02,1722.8088750355182,,
1550,2.76,1550,0.02,1621.467176046345,,
1653.333333,2.76,1653.333333,0.02,1520.1254778499253,,
