"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
269.5652174,2.67,269.5652174,1.3,606023.3570277722,No reference information available.,Thermal evaporation.
275.5555556,2.66,275.5555556,1.28,583728.1832825345,,
281.8181818,2.65,281.8181818,1.27,566297.4112707213,,
288.372093,2.66,288.372093,1.27,553427.0155689493,,
295.2380952,2.68,295.2380952,1.27,540556.6198841996,,
302.4390244,2.73,302.4390244,1.26,523531.2144490755,,
310,2.78,310,1.2,486440.1528139034,,
317.9487179,2.77,317.9487179,1.13,446612.86537069763,,
326.3157895,2.74,326.3157895,1.11,427459.28425074514,,
335.1351351,2.71,335.1351351,1.12,419959.99864003144,,
344.4444444,2.71,344.4444444,1.16,423202.93300270283,,
354.2857143,2.77,354.2857143,1.22,432729.05258991953,,
364.7058824,2.85,364.7058824,1.27,437593.45407904364,,
375.7575758,3,375.7575758,1.29,431411.6104781229,,
387.5,3.18,387.5,1.2,389152.1222511228,,
400,3.31,400,1.02,320442.4506661589,,
413.3333333,3.3,413.3333333,0.84,255381.08024789454,,
427.5862069,3.27,427.5862069,0.71,208662.55721578124,,
442.8571429,3.22,442.8571429,0.62,175929.18858400302,,
459.2592593,3.18,459.2592593,0.55,150492.42226345127,,
476.9230769,3.14,476.9230769,0.5,131744.20806014023,,
496,3.11,496,0.46,116542.95327833104,,
516.6666667,3.08,516.6666667,0.42,102152.43208432925,,
539.1304348,3.06,539.1304348,0.39,90903.50355416583,,
563.6363636,3.05,563.6363636,0.36,80262.6252194723,,
590.4761905,3.04,590.4761905,0.34,72357.97272815049,,
620,3.04,620,0.31,62831.853071795864,,
635.8974359,3.05,635.8974359,0.28,55332.56738235841,,
652.6315789,3.04,652.6315789,0.24,46211.81452067491,,
670.2702703,3.02,670.2702703,0.23,43120.89271106987,,
688.8888889,3.03,688.8888889,0.22,40131.312606499756,,
708.5714286,3.04,708.5714286,0.18,31922.635027125212,,
729.4117647,3.03,729.4117647,0.14,24119.324243883897,,
751.5151515,2.99,751.5151515,0.08,13377.104202652046,,
775,2.94,775,0.07,11350.270232324416,,
800,2.92,800,0.07,10995.574287564279,,
826.6666667,2.89,826.6666667,0.06,9120.752864892918,,
855.1724138,2.87,855.1724138,0.06,8816.727769680898,,
885.7142857,2.86,885.7142857,0.06,8512.702674380613,,
918.5185185,2.84,918.5185185,0.05,6840.5646490834315,,
953.8461538,2.83,953.8461538,0.05,6587.210403007011,,
992,2.82,992,0.05,6333.856156431035,,
1033.333333,2.8,1033.333333,0.04,4864.401529708197,,
1078.26087,2.79,1078.26087,0.04,4661.718129253517,,
1127.272727,2.78,1127.272727,0.04,4459.034735206247,,
1180.952381,2.77,1180.952381,0.04,4256.351336950029,,
1240,2.77,1240,0.03,3040.2509550868963,,
1305.263158,2.76,1305.263158,0.03,2888.238407099629,,
1377.777778,2.75,1377.777778,0.03,2736.2258591368804,,
1458.823529,2.74,1458.823529,0.03,2584.213312553277,,
1550,2.74,1550,0.03,2432.200764069517,,
1653.333333,2.73,1653.333333,0.02,1520.1254778499253,,
